"member_id","name","ssn","street_address","city","state","zip","phone","date_of_birth","credit_card_no","hash_pin"
"W281078445","Shana A. Galloway","410-11-5188","Ap #413-5684 Tempus Rd.","West Jordan","Utah",36365,"1-939-180-5395","1983-01-06","5412293343153710","C564C8D5"
"O277615338","Gregory R. Bolton","134-43-8189","225-6637 Augue St.","Saint Paul","MN",71262,"1-562-536-1991","1994-11-23","4875237956365790","310CED37"
"F331472412","Lewis X. Austin","027-60-9885","853-1562 Nulla Ave","Helena","Montana",27394,"1-976-519-5456","1992-01-19","379411494842267","3EE51D04"
"D187493584","Walker W. Newton","786-25-8384","258-7128 Sagittis. Road","Lansing","MI",21183,"1-887-459-2913","1965-08-29","5441684275418200","3B65412A"
"R942872522","Maxine X. Hood","744-07-4770","4727 Purus. Ave","Provo","Utah",73967,"1-666-434-5501","1985-04-19","4523518325304700","89E2768C"
"O636321216","Marah I. Le","996-59-6638","706-2409 Nibh Rd.","Fort Smith","Arkansas",72681,"1-789-404-9831","1976-05-30","5476316543310280","BCA06EC2"
"J370432803","Courtney S. Rasmussen","560-53-6423","Ap #407-760 Egestas Avenue","Austin","Texas",83555,"1-442-387-7730","1981-12-21","5423624199230230","EE94E465"
"U610517013","Fletcher V. Guerrero","373-14-3510","Ap #298-2167 Egestas. St.","Minneapolis","MN",39797,"1-957-181-4775","1992-04-12","4853046688347910","3223A266"
"R303637584","Devin E. Perry","690-24-3879","Ap #162-1499 Ante Ave","Miami","FL",44196,"1-833-819-6010","1977-08-06","5495141621080650","5CA254B5"
"G653004997","Aimee G. Keith","448-99-7587","3848 Nascetur Road","Columbia","MO",59192,"1-227-167-9824","1979-05-15","4782832437018870","FD309E77"
"R874927922","Macon F. Browning","458-74-3194","9027 Vel  Rd.","Huntsville","Alabama",35152,"1-650-390-7530","1964-01-07","4816346967158200","DBC6B4B4"
"P256223882","Todd I. David","822-30-5217","Ap #948-6226 Mus. Ave","Aurora","Colorado",30776,"1-236-335-9086","1993-04-10","4516604898687680","38A8A3D7"
"S480033308","Deborah Q. Walker","034-47-5601","611-8481 Ligula. Street","Toledo","OH",40962,"1-844-672-9410","1990-04-27","5491186144340040","C9BF2018"
"J556495035","Bradley E. Moran","722-33-8054","Ap #153-668 Nisi St.","Salt Lake City","Utah",97042,"1-396-556-2560","1989-03-02","370666543769676","8A2CE3D2"
"N470958636","Russell R. Ramirez","262-74-4711","590-8837 Scelerisque Road","Hilo","HI",75949,"1-190-888-4050","1990-06-28","4679198955311160","6972C925"
"H964028895","Pascale J. Carr","727-58-8059","4760 Lobortis Ave","Reno","Nevada",39150,"1-511-498-2822","1971-11-12","5451103535246560","92A6A32F"
"V214333127","Paul A. Rice","490-32-7281","1789 In Rd.","Gaithersburg","MD",10477,"1-650-636-5231","1970-12-21","4258817303472290","A48622B5"
